,0,1,2
intercept,-0.2935456787736785,1.3925077760800013,-1.0989620973063237
sepal length (cm),-1.2814387352561134,0.784900355811786,0.49653837944432777
sepal width (cm),1.2378791409918384,-0.6825147825503842,-0.5553643584414554
petal length (cm),-2.2462764627578182,-0.9571714706741442,3.2034479334319643
